Date,Open,High,Low,Close,Adj Close,Volume
2014-03-07,5.594260,5.625000,5.553280,5.573770,4.230659,3977498
2014-03-10,5.553280,5.573770,5.471310,5.543030,4.207325,6274559
2014-03-11,5.594260,5.594260,5.512300,5.543030,4.207325,4972982
2014-03-12,5.543030,5.558400,5.481560,5.543030,4.207325,7247138
2014-03-13,5.573770,5.604510,5.543030,5.573770,4.230659,12100195
2014-03-14,5.532790,5.532790,5.471310,5.471310,4.152889,7558612
2014-03-17,5.481560,5.573770,5.476430,5.532790,4.199553,7862934
2014-03-18,5.584020,5.584020,5.522540,5.543030,4.207325,5313338
2014-03-19,5.594260,5.625000,5.543030,5.614750,4.261764,17475544
2014-03-20,5.635250,5.635250,5.502050,5.522540,4.191774,15261002
2014-03-21,5.573770,5.655740,5.543030,5.635250,4.277323,24442502
2014-03-24,5.584020,5.594260,5.502050,5.532790,4.199553,10745606
2014-03-25,5.543030,5.573770,5.517420,5.573770,4.230659,10613694
2014-03-26,5.635250,5.686480,5.594260,5.635250,4.277323,15264158
2014-03-27,5.604510,5.645490,5.527660,5.645490,4.285097,13029260
2014-03-28,5.645490,5.727460,5.614750,5.706970,4.331762,17324220
2014-03-31,5.737700,5.778690,5.706970,5.706970,4.331762,9993427
2014-04-01,5.686480,5.727460,5.645490,5.665980,4.300649,9787315
2014-04-02,5.676230,5.717210,5.655740,5.676230,4.308429,6597662
2014-04-03,5.696720,5.701840,5.676230,5.686480,4.316209,8453739
2014-04-04,5.676230,5.727460,5.645490,5.727460,4.347314,3709518
2014-04-07,5.727460,5.747950,5.696720,5.737700,4.355086,5207919
2014-04-08,5.747950,5.747950,5.706970,5.737700,4.355086,4636940
2014-04-09,5.768440,5.778690,5.717210,5.717210,4.339534,7257373
2014-04-10,5.768440,5.768440,5.717210,5.737700,4.355086,5649049
2014-04-11,5.706970,5.717210,5.671110,5.686480,4.316209,5289539
2014-04-14,5.655740,5.665980,5.584020,5.594260,4.246210,3866386
2014-04-15,5.625000,5.645490,5.584020,5.625000,4.269544,4872530
2014-04-16,5.645490,5.706970,5.625000,5.676230,4.308429,8173961
2014-04-17,5.717210,5.747950,5.686480,5.737700,4.355086,8387843
2014-04-22,5.727460,5.758200,5.686480,5.737700,4.355086,2868416
2014-04-23,5.768440,5.809430,5.747950,5.809430,4.409532,5894587
2014-04-24,5.840160,5.850410,5.788930,5.799180,4.401751,4874437
2014-04-28,5.860660,5.891390,5.840160,5.891390,4.471741,9529647
2014-04-29,5.942620,5.952870,5.778690,5.850410,4.440637,9812112
2014-04-30,5.850410,5.891390,5.799180,5.881150,4.463969,9132640
2014-05-01,5.901640,5.901640,5.799180,5.829920,4.425085,4265830
2014-05-02,5.829920,5.860660,5.799180,5.850410,4.440637,3318128
2014-05-05,5.891390,5.957990,5.891390,5.952870,4.518406,9268115
2014-05-06,5.973360,5.993850,5.901640,5.932380,4.502855,7508186
2014-05-07,5.881150,5.927250,5.845290,5.911890,4.487302,6965364
2014-05-08,5.973360,5.983610,5.896520,5.952870,4.518406,5169845
2014-05-09,5.932380,5.952870,5.891390,5.932380,4.502855,2555270
2014-05-12,5.952870,5.983610,5.881150,5.911890,4.487302,3118039
2014-05-13,5.963110,6.009220,5.932380,5.963110,4.526179,5804149
2014-05-14,6.014340,6.045080,5.973360,5.983610,4.541739,3612769
2014-05-15,5.983610,5.988730,5.932380,5.973360,4.533959,8007625
2014-05-16,5.942620,5.952870,5.922130,5.942620,4.510627,3144779
2014-05-19,5.942620,5.973360,5.881150,5.901640,4.479522,4027042
2014-05-20,5.922130,5.932380,5.860660,5.891390,4.471741,3511113
2014-05-21,5.901640,5.922130,5.850410,5.922130,4.495075,9450706
2014-05-22,5.891390,5.983610,5.881150,5.932380,4.502855,7897432
2014-05-23,5.973360,6.024590,5.968240,5.973360,4.533959,4915246
2014-05-26,5.983610,6.024590,5.963110,6.024590,4.572844,1910223
2014-05-27,6.004100,6.034840,5.963110,6.004100,4.557292,5359489
2014-05-28,6.034840,6.096310,6.024590,6.096310,4.627282,9153075
2014-05-29,6.075820,6.106560,6.055330,6.086070,4.619509,3516384
2014-05-30,6.116800,6.127050,6.086070,6.096310,4.627282,12357769
2014-06-02,6.096310,6.168030,6.096310,6.137300,4.658395,5167477
2014-06-03,6.147540,6.157790,6.045080,6.055330,4.596177,7147546
2014-06-04,6.055330,6.055330,5.983610,5.983610,4.541739,6977717
2014-06-05,5.973360,6.014340,5.952870,5.993850,4.549512,5418429
2014-06-06,6.004100,6.050200,5.993850,6.014340,4.565063,4996124
2014-06-10,6.086070,6.096310,6.004100,6.034840,4.580625,8051768
2014-06-11,6.004100,6.034840,5.993850,6.024590,4.572844,3207260
2014-06-12,5.983610,6.024590,5.932380,5.952870,4.518406,4887878
2014-06-13,5.911890,5.952870,5.901640,5.932380,4.502855,4379002
2014-06-16,5.901640,5.942620,5.901640,5.922130,4.495075,5633253
2014-06-17,5.932380,6.004100,5.922130,6.004100,4.557292,6413009
2014-06-18,6.004100,6.024590,5.952870,5.973360,4.533959,3132693
2014-06-19,5.963110,6.034840,5.957990,6.024590,4.572844,5252496
2014-06-20,5.983610,6.014340,5.942620,5.952870,4.518406,3850897
2014-06-23,5.983610,5.993850,5.901640,5.911890,4.487302,6163789
2014-06-24,5.901640,5.952870,5.881150,5.942620,4.510627,7020930
2014-06-25,5.932380,6.004100,5.901640,6.004100,4.557292,6181195
2014-06-26,6.004100,6.065570,5.998980,6.065570,4.603950,4445251
2014-06-27,6.086070,6.116800,6.045080,6.045080,4.588397,6724794
2014-06-30,6.024590,6.050200,5.983610,5.983610,4.541739,4535726
2014-07-01,5.983610,5.993850,5.891390,5.911890,4.487302,11252580
2014-07-02,6.004100,6.024590,5.983610,6.024590,4.572844,5205100
2014-07-03,6.045080,6.075820,6.024590,6.045080,4.588397,3101323
2014-07-04,6.096310,6.116800,6.065570,6.075820,4.611730,3342033
2014-07-07,6.106560,6.116800,6.045080,6.045080,4.588397,4131899
2014-07-08,6.096310,6.096310,6.034840,6.034840,4.580625,3524769
2014-07-09,6.045080,6.065570,5.983610,6.014340,4.565063,4504079
2014-07-10,6.045080,6.045080,5.952870,5.993850,4.549512,6430245
2014-07-11,5.983610,6.137300,5.983610,6.127050,4.650615,8055313
2014-07-14,6.147540,6.183400,6.106560,6.106560,4.635064,6177982
2014-07-15,6.137300,6.157790,6.045080,6.127050,4.650615,6174674
2014-07-16,6.106560,6.127050,6.086070,6.116800,4.642835,5105810
2014-07-17,6.137300,6.147540,6.086070,6.116800,4.642835,5587160
2014-07-18,6.106560,6.127050,6.060450,6.086070,4.619509,7071698
2014-07-21,6.116800,6.147540,6.106560,6.147540,4.666168,4724479
2014-07-22,6.147540,6.188520,6.137300,6.147540,4.666168,6710739
2014-07-23,6.168030,6.198770,6.147540,6.188520,4.697272,5751207
2014-07-24,6.311480,6.347340,6.270490,6.321720,4.798375,9649099
2014-07-25,6.331970,6.454920,6.311480,6.444670,4.891698,13742563
2014-07-28,6.403690,6.419060,6.362700,6.383200,4.845040,7453477
2014-07-29,6.413930,6.413930,6.352460,6.362700,4.829480,3152138
2014-07-30,6.331970,6.413930,6.311480,6.413930,4.868365,7097258
