Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,58.900002,59.450001,58.830002,59.150002,51.837303,60492
2014-01-03,59.450001,59.669998,59.09,59.619999,52.249191,153587
2014-01-06,59.639999,59.700001,58.43,58.639999,51.390354,108083
2014-01-07,59.48,59.48,58.970001,59.18,51.86359,138690
2014-01-08,58.599998,59.75,58.5,59.75,52.363121,150283
2014-01-09,59.900002,59.900002,59.349998,59.880001,52.477055,103321
2014-01-10,59.900002,59.950001,59.509998,59.73,52.345596,87233
2014-01-13,59.959999,59.98,59.709999,59.880001,52.477055,124822
2014-01-14,59.990002,60.130001,58.990002,59.07,51.767185,218754
2014-01-15,59.84,59.84,59.150002,59.470001,52.117741,79432
2014-01-16,59.200001,59.73,59.07,59.650002,52.275486,135444
2014-01-17,59.419998,59.509998,58.790001,58.799999,51.530575,129253
2014-01-20,58.990002,58.990002,58.200001,58.209999,51.013508,154250
2014-01-21,58.25,59.599998,58.25,59.599998,52.231663,167084
2014-01-22,59.650002,60.169998,59.459999,60.099998,52.669846,204764
2014-01-23,60.25,60.424999,59.459999,60.099998,52.669846,158260
2014-01-24,60.099998,60.43,57.849998,57.849998,50.698013,374924
2014-01-28,57.380001,58.43,57.369999,57.799999,50.654202,324452
2014-01-29,58.400002,58.720001,57.580002,58.720001,51.460472,139739
2014-01-30,58,58.259998,57.549999,57.700001,50.56657,119485
2014-01-31,58,58.139999,56.950001,57.23,50.154667,191605
2014-02-03,57.099998,57.599998,56.689999,57.200001,50.128387,143426
2014-02-04,56.040001,56.389999,55.77,55.790001,48.892693,281625
2014-02-05,55.93,56.82,55.724998,56.810001,49.786594,311608
2014-02-06,56.91,57.549999,56.560001,57.549999,50.435104,187030
2014-02-07,57.220001,57.799999,56.880001,57.610001,50.48769,196206
2014-02-10,57.5,58.889999,57.41,58.889999,51.60944,234131
2014-02-11,52.84,54.099998,51.790001,53.68,47.043556,933990
2014-02-12,54.650002,55.830002,54.630001,55.830002,48.92775,736242
2014-02-13,55.889999,56.720001,54.950001,54.950001,48.156548,586939
2014-02-14,55.5,55.990002,54.970001,55.470001,48.612259,264100
2014-02-17,55.810001,55.869999,54.810001,55.189999,48.366871,189836
2014-02-18,55.150002,55.700001,54.950001,55.169998,48.349342,136005
2014-02-19,55.150002,55.720001,55.150002,55.720001,48.831348,323210
2014-02-20,55.880001,57.450001,55.810001,57.400002,50.30365,413015
2014-02-21,57.25,58.349998,57.200001,58.310001,51.101151,214283
2014-02-24,58.349998,58.650002,58.040001,58.330002,51.118675,289007
2014-02-25,58.330002,58.950001,57.970001,58.009998,50.83823,255124
2014-02-26,58.650002,58.91,58.470001,58.869999,51.591911,159807
2014-02-27,58.389999,58.490002,58.25,58.27,51.066093,167074
2014-02-28,57.099998,57.43,57,57.299999,51.334862,209687
2014-03-03,57.099998,57.299999,57.009998,57.119999,51.173599,268594
2014-03-04,57.110001,57.630001,57.049999,57.099998,51.155682,229057
2014-03-05,57.110001,57.490002,57.060001,57.209999,51.254234,219747
2014-03-06,57.25,57.290001,56.860001,57.099998,51.155682,203783
2014-03-07,57.169998,57.389999,57.049999,57.25,51.29007,105482
2014-03-10,57.400002,57.810001,57.130001,57.75,51.738014,172502
2014-03-11,57.5,57.650002,57.049999,57.099998,51.155682,113958
2014-03-12,57.419998,57.619999,57.07,57.57,51.576756,206011
2014-03-13,57.580002,58.43,57.57,58.029999,51.988865,181235
2014-03-14,58.029999,58.389999,57.360001,57.619999,51.621548,151826
2014-03-17,57.099998,57.57,57.044998,57.130001,51.18256,239721
2014-03-18,57.099998,57.830002,56.860001,57.189999,51.23632,236411
2014-03-19,57.099998,57.439999,57.080002,57.139999,51.191525,246030
2014-03-20,57.110001,57.27,56.349998,56.580002,50.689816,409072
2014-03-21,57.169998,58.990002,56.700001,58.959999,52.822056,402081
2014-03-24,58.490002,58.490002,57.040001,57.25,51.29007,294337
2014-03-25,56.93,57.240002,56.299999,56.900002,50.976505,193586
2014-03-26,57.119999,57.700001,57.09,57.380001,51.406536,178208
2014-03-27,56.939999,57.360001,56.830002,57.200001,51.245281,191004
2014-03-28,56.799999,57.450001,56.799999,57.240002,51.281116,187900
2014-03-31,57.419998,57.439999,57,57,51.066093,294455
