Date,Predicted,Actual,Accuracy
[Timestamp('2019-08-06 00:00:00')],209.92999300000002,209.92999300000002,1.0
[Timestamp('2019-08-07 00:00:00')],212.229996,212.229996,1.0
[Timestamp('2019-08-08 00:00:00')],210.38999900000002,210.38999900000002,1.0
[Timestamp('2019-08-09 00:00:00')],210.25,210.25,1.0
[Timestamp('2019-08-12 00:00:00')],210.42999300000002,210.42999300000002,1.0
[Timestamp('2019-08-13 00:00:00')],203.369995,203.369995,1.0
[Timestamp('2019-08-14 00:00:00')],203.369995,203.369995,1.0
[Timestamp('2019-08-15 00:00:00')],201.520004,201.520004,1.0
[Timestamp('2019-08-16 00:00:00')],209.429993,209.429993,1.0
[Timestamp('2019-08-19 00:00:00')],217.789993,217.789993,1.0
[Timestamp('2019-08-20 00:00:00')],219.19999700000002,219.19999700000002,1.0
[Timestamp('2019-08-21 00:00:00')],215.36000099999998,215.36000099999998,1.0
[Timestamp('2019-08-22 00:00:00')],216.42999300000002,216.42999300000002,1.0
[Timestamp('2019-08-23 00:00:00')],215.88999900000002,215.8764490018774,0.9999372365640586
[Timestamp('2019-08-26 00:00:00')],208.699997,208.6997581910555,0.9999988557309635
[Timestamp('2019-08-27 00:00:00')],211.080002,211.0799753368724,0.9999998736823604
[Timestamp('2019-08-28 00:00:00')],213.58999599999999,213.58860156789186,0.9999934714540276
[Timestamp('2019-08-29 00:00:00')],213.25,213.2500681437716,1.0000003195487532
[Timestamp('2019-08-30 00:00:00')],218.0,217.99888615415819,0.9999948906154045
[Timestamp('2019-09-02 00:00:00')],215.809998,215.80794664235145,0.9999904946125409
[Timestamp('2019-09-03 00:00:00')],215.809998,215.8109191275866,1.0000042682340722
[Timestamp('2019-09-04 00:00:00')],215.919998,215.91891922571057,0.9999950038241042
[Timestamp('2019-09-05 00:00:00')],212.86000099999998,212.86336913705392,1.0000158232502026
[Timestamp('2019-09-06 00:00:00')],215.99000499999997,215.99246702277125,1.0000113987810282
[Timestamp('2019-09-09 00:00:00')],213.940002,213.94120638733685,1.0000056295565374
[Timestamp('2019-09-10 00:00:00')],208.5,208.50075429597246,1.0000036177264866
[Timestamp('2019-09-11 00:00:00')],205.990005,205.99099322058953,1.0000047974200958
[Timestamp('2019-09-12 00:00:00')],207.449997,207.44953921222552,0.9999977932620819
[Timestamp('2019-09-13 00:00:00')],211.67999300000002,211.3708190861575,0.99853942779636
[Timestamp('2019-09-16 00:00:00')],207.440002,207.45045217364094,1.000050376848921
